Method of Travel to Work,Greater Melbourne,Rest of Vic.,No Usual Address (Vic.),Migratory - Offshore - Shipping (Vic.),Greater Brisbane,Rest of Qld,No Usual Address (Qld),Migratory - Offshore - Shipping (Qld),Greater Adelaide,Rest of SA,No Usual Address (SA),Migratory - Offshore - Shipping (SA),Greater Perth,Rest of WA,No Usual Address (WA),Migratory - Offshore - Shipping (WA),Greater Hobart,Rest of Tas.,No Usual Address (Tas.),Migratory - Offshore - Shipping (Tas.),Greater Darwin,Rest of NT,No Usual Address (NT),Migratory - Offshore - Shipping (NT),Australian Capital Territory,No Usual Address (ACT),Migratory - Offshore - Shipping (ACT),Other Territories,No Usual Address (OT),Migratory - Offshore - Shipping (OT),Rest of NSW,No Usual Address (NSW),Migratory - Offshore - Shipping (NSW),Greater Sydney,Total
"Taxi, other",403,15,0,0,237,100,0,0,122,17,0,0,292,78,3,4,13,13,0,0,15,11,0,0,84,0,0,0,0,0,67,0,0,539,2013
"Car as driver, car as passenger",3508,1562,4,0,2302,2860,16,0,1281,477,3,0,1908,699,4,0,279,406,0,0,201,149,0,0,580,0,0,0,0,0,3133,9,0,3845,23226
"Car as driver, truck",786,391,0,0,393,516,0,0,243,121,0,0,350,134,0,0,36,45,0,0,9,15,0,0,30,0,0,0,0,0,639,0,0,737,4445
"Car as driver, motorbike/scooter",488,321,0,0,545,673,3,0,226,106,0,0,384,123,0,0,35,48,0,0,51,17,0,0,101,0,0,3,0,0,601,0,0,712,4437
"Car as driver, bicycle",1043,363,0,0,663,626,0,0,468,66,0,0,562,122,0,0,54,36,0,0,106,46,0,0,242,0,0,0,0,0,492,0,0,692,5581
"Car as driver, other",883,328,0,0,597,715,0,0,353,157,0,0,684,370,5,0,112,67,0,0,42,30,0,0,136,0,0,0,0,0,514,5,0,1041,6039
"Car as passenger, truck",50,36,0,0,33,62,0,0,21,8,0,0,33,17,0,0,3,4,0,0,0,12,0,0,4,0,0,0,0,0,62,0,0,82,427
"Car as passenger, motorbike/scooter",24,18,0,0,22,42,0,0,10,4,0,0,35,23,0,0,0,0,0,0,7,9,0,0,6,0,0,0,0,0,31,0,0,32,263
"Car as passenger, bicycle",131,97,0,0,131,209,0,0,50,22,0,0,133,41,0,0,11,12,0,0,21,17,0,0,44,0,0,0,0,0,118,3,0,110,1150
"Car as passenger, other",221,82,0,0,192,244,0,0,94,41,0,0,354,174,4,0,36,23,0,0,22,10,0,0,46,0,0,0,0,0,151,0,0,253,1947
"Truck, motorbike/scooter",4,20,0,0,9,36,0,0,3,10,0,0,8,9,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,20,221
"Truck, bicycle",0,7,0,0,7,9,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,4,48
"Truck, other",25,18,0,0,24,49,0,0,12,11,0,0,26,9,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,54,0,0,38,274
"Motorbike/scooter, bicycle",49,6,0,0,30,29,0,0,18,4,0,0,14,4,0,0,0,7,0,0,8,6,0,0,10,0,0,0,0,0,15,0,0,82,282
"Motorbike/scooter, other",11,28,0,0,10,33,0,0,4,6,0,0,13,14,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,12,166
"Bicycle, other",30,7,0,0,20,12,0,0,8,3,0,0,8,3,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,12,0,0,35,147
"Train, bus, ferry",70,5,0,0,157,18,0,0,21,0,0,0,62,0,0,0,0,6,0,0,0,0,0,0,4,0,0,0,0,0,31,5,0,1106,1485
"Train, bus, tram",4871,86,9,0,6,8,0,0,113,0,0,0,5,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,290,5398
"Train, bus, taxi",359,22,0,0,236,38,0,0,48,3,0,0,202,7,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,36,4,0,1123,2087
"Train, bus, car as driver",1143,151,0,0,935,162,0,0,168,5,0,0,2191,13,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,118,0,0,2839,7735
"Train, bus, car as passenger",1672,53,4,0,1003,140,0,0,202,10,0,0,1568,10,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,118,6,0,3330,8126
