Method of Travel to Work,Sydney,Balance of NSW,New South Wales,Melbourne,Balance of Victoria,Victoria,Brisbane,Balance of QLD,Queensland,Adelaide,Balance of SA,South Australia,Perth,Balance of WA,Western Australia,Greater Hobart,Balance of Tasmania,Tasmania,Darwin,Balance of NT,Northern Territory,Canberra,Balance of ACT,Australian Capital Territory,Other Territories(c),Total Australia
"Train, tram, car as passenger",54,0,54,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,57
"Train, tram, truck",0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"Train, tram, motorbike/scooter",3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Train, tram, bicycle",0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Train, tram, other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3
"Train, taxi, car as driver",201,18,219,95,13,108,43,9,52,6,3,9,18,0,18,0,3,3,0,0,0,3,0,3,0,412
"Train, taxi, car as passenger",204,17,221,72,10,82,42,10,52,4,0,4,14,0,14,0,0,0,0,0,0,3,0,3,0,376
"Train, taxi, truck",0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Train, taxi, motorbike/scooter",0,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"Train, taxi, bicycle",3,0,3,4,3,7,9,0,9,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,22
"Train, taxi, other",23,6,29,17,3,20,12,3,15,5,0,5,0,0,0,0,0,0,0,0,0,3,0,3,0,72
"Train, car as driver, car as passenger",897,71,968,450,40,490,260,34,294,38,3,41,99,0,99,0,0,0,0,0,0,0,0,0,0,"1,892"
"Train, car as driver, truck",10,0,10,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
"Train, car as driver, motorbike/scooter",11,0,11,12,0,12,7,0,7,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,34
"Train, car as driver, bicycle",47,11,58,58,6,64,35,5,40,11,0,11,16,0,16,0,0,0,0,0,0,0,0,0,0,189
"Train, car as driver, other",117,27,144,78,20,98,59,12,71,6,3,9,26,0,26,0,3,3,0,0,0,0,0,0,0,351
"Train, car as passenger, truck",17,0,17,4,0,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
"Train, car as passenger, motorbike/scooter",6,0,6,3,0,3,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
"Train, car as passenger, bicycle",34,7,41,27,3,30,35,6,41,0,0,0,12,0,12,0,0,0,0,0,0,0,0,0,0,124
"Train, car as passenger, other",107,11,118,32,7,39,44,7,51,3,0,3,18,0,18,0,0,0,0,0,0,3,0,3,0,232
"Train, truck, motorbike/scooter",3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Train, truck, bicycle",3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"Train, truck, other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Train, motorbike/scooter, bicycle",5,0,5,6,0,6,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
"Train, motorbike/scooter, other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Train, bicycle, other",11,3,14,0,0,0,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
"Bus, ferry, tram",9,3,12,10,3,13,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
"Bus, ferry, taxi",47,3,50,0,0,0,12,9,21,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,74
"Bus, ferry, car as driver",104,5,109,6,0,6,36,16,52,0,0,0,7,0,7,0,0,0,0,3,3,0,0,0,3,180
"Bus, ferry, car as passenger",80,11,91,3,0,3,25,10,35,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,4,136
"Bus, ferry, truck",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bus, ferry, motorbike/scooter",3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
"Bus, ferry, bicycle",12,3,15,0,0,0,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
"Bus, ferry, other",7,0,7,0,0,0,4,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
"Bus, tram, taxi",3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,9
"Bus, tram, car as driver",0,0,0,0,0,0,0,0,0,12,0,12,3,0,3,0,0,0,0,0,0,0,0,0,0,15
"Bus, tram, car as passenger",4,0,4,0,0,0,0,0,0,15,0,15,3,0,3,0,0,0,0,0,0,0,0,0,0,22
"Bus, tram, truck",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bus, tram, motorbike/scooter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bus, tram, bicycle",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bus, tram, other",0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Bus, taxi, car as driver",120,10,130,21,5,26,33,30,63,24,0,24,12,6,18,3,3,6,3,3,6,12,0,12,0,285
"Bus, taxi, car as passenger",142,45,187,40,9,49,55,66,121,22,4,26,22,5,27,10,3,13,4,0,4,16,3,19,0,446
"Bus, taxi, truck",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bus, taxi, motorbike/scooter",0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,3
"Bus, taxi, bicycle",9,0,9,0,3,3,3,9,12,4,0,4,3,0,3,0,0,0,0,0,0,3,0,3,0,34
"Bus, taxi, other",26,4,30,10,0,10,5,9,14,5,3,8,18,11,29,3,0,3,0,0,0,4,0,4,0,98
"Bus, car as driver, car as passenger",276,77,353,92,36,128,148,87,235,133,8,141,123,27,150,24,3,27,18,8,26,71,0,71,0,"1,131"
"Bus, car as driver, truck",3,0,3,0,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
