Method of Travel to Work,Sydney (SD),Balance of NSW,New South Wales,Melbourne (SD),Balance of Victoria,Victoria,Brisbane (SD),Balance of Qld,Queensland,Adelaide (SD),Balance of SA,South Australia,Perth (SD),Balance of WA,Western Australia,Greater Hobart (SD),Balance of Tasmania,Tasmania,Darwin (SD),Balance of NT,Northern Territory,Canberra (SD),Balance of ACT,Australian Capital Territory,Total Australia
"Bus, taxi",697,93,790,104,34,138,221,67,288,111,4,115,77,9,86,30,5,35,13,3,16,49,0,49,"1,517"
"Bus, car as driver","2,343",502,"2,845",720,271,991,"1,395",340,"1,735","1,601",230,"1,831","2,087",204,"2,291",250,164,414,43,37,80,543,3,546,"10,733"
"Bus, car as passenger","2,725",594,"3,319","1,340",265,"1,605","1,362",372,"1,734","1,375",137,"1,512","1,321",99,"1,420",232,128,360,78,23,101,797,0,797,"10,848"
"Bus, motorbike/motor scooter, bicycle, other",280,75,355,195,56,251,88,111,199,127,16,143,128,77,205,16,12,28,24,11,35,121,0,121,"1,337"
"Ferry/tram, taxi",50,3,53,130,3,133,10,5,15,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,207
"Ferry/tram, car as driver",472,84,556,"1,394",56,"1,450",346,121,467,136,63,199,40,5,45,14,26,40,3,7,10,3,0,3,"2,770"
"Ferry/tram, car as passenger",152,32,184,"1,164",25,"1,189",91,52,143,40,11,51,5,0,5,5,4,9,0,3,3,0,0,0,"1,584"
"Ferry/tram, motorbike/motor scooter, bicycle, other",33,22,55,205,5,210,53,11,64,12,3,15,5,0,5,0,0,0,0,3,3,3,0,3,355
"Taxi, car as driver",368,104,472,261,69,330,148,115,263,109,23,132,99,25,124,11,16,27,13,10,23,31,0,31,"1,402"
"Taxi, car as passenger",240,117,357,149,48,197,111,117,228,67,11,78,38,16,54,17,20,37,11,9,20,24,0,24,995
"Taxi, motorbike/motor scooter, bicycle, other",162,38,200,155,26,181,85,66,151,59,14,73,61,6,67,10,9,19,13,8,21,49,0,49,761
"Car as driver, car as passenger","4,878","4,218","9,096","4,596","2,218","6,814","2,351","2,898","5,249","1,815",696,"2,511","1,967",923,"2,890",367,595,962,167,136,303,631,3,634,"28,459"
"Car as driver, motorbike/motor scooter, bicycle, other","1,275","1,676","2,951","1,345","1,303","2,648",767,"1,711","2,478",780,423,"1,203",777,457,"1,234",109,158,267,108,102,210,224,0,224,"11,215"
"Car as passenger, motorbike/motor scooter, bicycle, other",373,408,781,383,286,669,258,613,871,207,75,282,240,148,388,25,51,76,44,47,91,87,0,87,"3,245"
"Motorbike/motor scooter, bicycle, other",34,173,207,34,66,100,43,147,190,26,40,66,36,37,73,0,8,8,10,8,18,9,0,9,671
"Bicycle, other",21,13,34,15,12,27,7,20,27,8,4,12,11,13,24,0,3,3,0,0,0,3,0,3,130
"Train, bus, ferry/tram",625,22,647,"2,253",40,"2,293",40,6,46,15,3,18,21,3,24,3,3,6,0,0,0,0,0,0,"3,034"
"Train, bus, taxi","1,082",40,"1,122",210,15,225,104,9,113,21,3,24,32,0,32,0,0,0,0,0,0,3,0,3,"1,519"
"Train, bus, car as driver","2,105",116,"2,221",529,32,561,167,14,181,174,12,186,201,5,206,4,3,7,0,0,0,0,0,0,"3,362"
"Train, bus, car as passenger","3,254",89,"3,343","1,125",28,"1,153",317,22,339,179,8,187,183,4,187,0,0,0,0,0,0,3,0,3,"5,212"
"Train, bus, motorbike/motor scooter",33,3,36,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,39
"Train, bus, bicycle",77,8,85,57,4,61,26,0,26,8,0,8,14,0,14,0,0,0,0,0,0,0,0,0,194
"Train, bus, other",247,9,256,125,3,128,22,3,25,7,0,7,12,0,12,0,0,0,0,0,0,0,0,0,428
"Train, ferry/tram, taxi",24,3,27,96,8,104,0,3,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,137
"Train, ferry/tram, car as driver",80,3,83,"1,443",163,"1,606",11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,700"
"Train, ferry/tram, car as passenger",41,4,45,909,68,977,9,0,9,4,0,4,0,0,0,0,0,0,0,0,0,3,0,3,"1,038"
"Train, ferry/tram, motorbike/motor scooter",0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"Train, ferry/tram, bicycle",3,0,3,42,3,45,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51
"Train, ferry/tram, other",0,0,0,60,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
"Train, taxi, car as driver",121,19,140,55,3,58,20,3,23,3,0,3,4,3,7,0,0,0,0,0,0,3,0,3,234
"Train, taxi, car as passenger",160,17,177,45,7,52,35,3,38,5,0,5,4,0,4,0,0,0,0,0,0,0,0,0,276
"Train, taxi, motorbike/motor scooter",0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"Train, taxi, bicycle",8,0,8,0,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"Train, taxi, other",10,5,15,8,4,12,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,33
"Train, car as driver, car as passenger",560,52,612,335,30,365,168,12,180,31,5,36,32,3,35,0,3,3,0,0,0,0,0,0,"1,231"
"Train, car as driver, motorbike/motor scooter",13,3,16,7,0,7,6,0,6,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,32
"Train, car as driver, bicycle",18,7,25,39,4,43,19,0,19,13,0,13,6,0,6,0,0,0,0,0,0,0,0,0,106
"Train, car as driver, other",117,8,125,85,22,107,28,3,31,7,0,7,4,0,4,0,0,0,0,0,0,0,0,0,274
"Train, car as passenger, motorbike/motor scooter",7,0,7,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,13
"Train, car as passenger, bicycle",24,4,28,21,3,24,28,0,28,3,3,6,3,0,3,0,0,0,0,0,0,0,0,0,89
"Train, car as passenger, other",109,10,119,66,4,70,35,4,39,3,0,3,4,0,4,0,0,0,0,0,0,0,0,0,235
"Train, motorbike/motor scooter, bicycle",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Train, motorbike/motor scooter, other",0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Train, bicycle, other",5,0,5,8,0,8,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
All other 3 methods,"1,015",548,"1,563","1,002",298,"1,300",419,557,976,457,130,587,390,156,546,81,70,151,65,52,117,221,0,221,"5,461"
Walked only,"69,416","61,426","130,842","43,148","36,028","79,176","19,205","50,133","69,338","13,046","15,659","28,705","11,397","18,643","30,040","4,048","7,549","11,597","1,661","5,920","7,581","5,038",209,"5,247","362,526"
Worked at home,"56,309","67,686","123,995","47,699","51,192","98,891","22,146","54,818","76,964","13,148","20,867","34,015","17,297","18,052","35,349","2,456","7,882","10,338",711,"1,593","2,304","3,872",25,"3,897","385,753"
Did not go to work,"144,355","83,568","227,923","127,758","50,195","177,953","56,947","55,271","112,218","47,789","15,718","63,507","53,020","18,072","71,092","8,398","10,355","18,753","3,363","2,779","6,142","14,859",71,"14,930","692,518"
Not stated/Could not be determined,"66,872","39,867","106,739","60,242","24,265","84,507","23,003","30,375","53,378","20,027","14,581","34,608","20,685","8,975","29,660","2,960","5,059","8,019","1,399","1,844","3,243","4,996",34,"5,030","325,184"
Total,"1,567,190","835,126","2,402,316","1,333,075","487,091","1,820,166","575,631","630,512","1,206,143","442,919","163,332","606,251","484,126","179,849","663,975","74,064","104,389","178,453","34,563","33,552","68,115","139,998",745,"140,743","7,086,162"
